County Name,State,State Abbr,Household Median Income,Family's Median Income,Total Population,Percent Poverty,Percent Veteran,Percent Married,Percent Bachelor,Percent One Race White,Percent One Race Black+,Percent One Race American Indian+,Percent One Race Asian,Percent One Race Hawaiian+,Percent One Race Some Other,State Code,County Code
FAYETTE,Illinois,IL,46650,57836,21565,17.2,8.0,49.5,11.3,93.9,4.7,0.3,0.5,0.1,0.1,17,051
LOGAN,Illinois,IL,57308,74457,29003,9.3,8.1,48.8,19.9,88.5,6.9,0.3,0.8,0.0,0.8,17,107
SALINE,Illinois,IL,44090,54492,23994,21.1,8.6,51.1,19.2,92.7,2.6,0.2,0.7,0.2,0.5,17,165
LAKE,Illinois,IL,89427,108478,701473,7.9,5.8,54.7,45.3,75.8,6.8,0.3,7.7,0.0,6.5,17,097
MASSAC,Illinois,IL,47481,61028,14219,16.7,9.3,56.6,13.9,91.1,5.8,0.0,0.2,0.0,0.0,17,127
CASS,Illinois,IL,52373,61364,12493,14.8,8.4,51.8,15.1,88.5,5.2,0.2,0.4,0.0,4.7,17,017
HUNTINGTON,Indiana,IN,53632,66022,36359,10.9,8.5,55.1,20.1,95.8,1.0,0.4,0.7,0.1,1.2,18,069
WHITE,Indiana,IN,54576,65428,24149,9.2,10.0,56.8,16.4,90.9,0.5,0.3,0.2,0.0,6.3,18,181
JAY,Indiana,IN,47658,60086,20840,14.1,7.1,49.8,11.4,97.0,0.4,0.1,0.8,0.0,0.8,18,075
SHELBY,Indiana,IN,60404,74165,44438,11.3,8.6,53.7,18.7,94.8,1.2,0.1,0.6,0.0,1.8,18,145
SULLIVAN,Indiana,IN,50245,61638,20730,12.0,7.8,47.8,12.1,92.9,4.0,0.1,0.5,0.0,0.4,18,153
TIPPECANOE,Indiana,IN,53130,74711,191553,18.7,4.9,39.2,38.7,81.5,5.3,0.3,8.1,0.0,2.4,18,157
HAMILTON,Indiana,IN,98173,116580,323117,4.6,6.0,60.8,59.3,86.8,4.0,0.2,6.0,0.0,0.6,18,057
BARTHOLOMEW,Indiana,IN,63431,77752,82481,13.4,6.1,52.0,33.5,85.2,1.9,0.2,7.4,0.1,2.6,18,005
FULTON,Indiana,IN,52034,64716,20096,12.4,10.1,51.6,15.8,93.9,0.9,0.3,0.4,0.1,2.8,18,049
NOBLE,Indiana,IN,56789,66777,47506,7.4,8.2,53.9,13.7,96.4,0.5,0.1,0.7,0.0,0.5,18,113
CLARK,Indiana,IN,55630,69987,116507,10.1,8.8,48.2,21.2,87.6,6.7,0.2,1.1,0.0,0.9,18,019
HENDRICKS,Indiana,IN,81933,93555,163799,5.0,7.8,56.1,37.0,87.0,7.0,0.2,2.9,0.0,1.0,18,063
GRANT,Indiana,IN,44356,55720,66452,18.0,8.5,45.8,17.9,87.8,7.2,0.2,1.0,0.0,0.8,18,053
JACKSON,Indiana,IN,51250,62098,44025,14.6,6.2,52.2,16.7,90.9,1.1,0.2,2.2,0.0,4.0,18,071
OWEN,Indiana,IN,49543,62476,20835,15.4,8.6,53.6,13.1,96.9,0.5,0.4,0.5,0.0,0.0,18,119
